cliente 0;CGH;CWB;2 dias;1 estrelas;R$ 4086
cliente 1;FOR;BEL;2 dias;2 estrelas;R$ 3844
cliente 1;BEL;GRU;2 dias;2 estrelas;R$ 3844
cliente 2;CWB;GIG;2 dias;5 estrelas;R$ 1411
cliente 2;GIG;JPA;3 dias;5 estrelas;R$ 1411
cliente 2;JPA;BEL;2 dias;5 estrelas;R$ 1411
cliente 2;BEL;FOR;1 dias;5 estrelas;R$ 1411
cliente 3;SDU;POA;4 dias;5 estrelas;R$ 8230
cliente 4;GIG;FOR;1 dias;3 estrelas;R$ 6941
cliente 4;FOR;SDU;4 dias;3 estrelas;R$ 6941
cliente 5;MCZ;IGU;1 dias;2 estrelas;R$ 6472
cliente 6;FOR;MAO;2 dias;2 estrelas;R$ 7508
cliente 6;MAO;REC;2 dias;2 estrelas;R$ 7508
cliente 6;REC;SDU;2 dias;2 estrelas;R$ 7508
cliente 7;SDU;FLN;1 dias;1 estrelas;R$ 3491
cliente 7;FLN;JPA;3 dias;1 estrelas;R$ 3491
cliente 7;JPA;IGU;1 dias;1 estrelas;R$ 3491
cliente 7;IGU;GIG;4 dias;1 estrelas;R$ 3491
cliente 8;SDU;GIG;2 dias;4 estrelas;R$ 9949
cliente 9;REC;VCP;1 dias;3 estrelas;R$ 3976
cliente 9;VCP;NAT;2 dias;3 estrelas;R$ 3976
cliente 10;JPA;IGU;1 dias;3 estrelas;R$ 3654
cliente 10;IGU;BEL;4 dias;3 estrelas;R$ 3654
cliente 11;CWB;FLN;1 dias;3 estrelas;R$ 6959
cliente 12;CNF;GRU;4 dias;3 estrelas;R$ 2309
cliente 12;GRU;FOR;2 dias;3 estrelas;R$ 2309
cliente 12;FOR;NAT;1 dias;3 estrelas;R$ 2309
cliente 13;POA;AJU;2 dias;3 estrelas;R$ 8698
cliente 14;GRU;VCP;1 dias;3 estrelas;R$ 4152
cliente 14;VCP;JPA;2 dias;3 estrelas;R$ 4152
cliente 14;JPA;POA;5 dias;3 estrelas;R$ 4152
cliente 14;POA;GIG;4 dias;3 estrelas;R$ 4152
cliente 15;IGU;AJU;1 dias;1 estrelas;R$ 8104
